ID,Country,VFN,Mp,Mh,Man,MMS,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,r,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW),z (Wh/km),IT,Ernedc (g/km),Erwltp (g/km),De,Vf,Status,year,Date of registration,Fuel consumption ,ech,RLFI,Electric range (km),mk_norm,cn_norm,price,frontal_area_m2
132188462,DE,IP-MQB37SZ_A0_0558-VSS-1,VOLKSWAGEN,SEAT,SEAT SA,,E9*2007/46*6394*40,5FP,CXDNFCX1,AD7CAD7GC0064BIML1C19AD17,CUPRA,CUPRA ATECA,M1,M1,1,1628.0,1762.0,,203.0,,,,petrol,M,1984.0,221.0,,e9 29 37,,1.96,,,F,2023,2023-12-06,9.0,,RL-DQ381_7A_17_020-WVW-1,,cupra,cupra ateca,40003.0,2.7
132188464,DE,IP-0000895-WBA-1,BMW,BMW AG,BAYERISCHE MOTOREN WERKE AG,,E1*2007/46*2017*09,G3K,11FZ,IAA500M0,BMW,318D,M1,M1,1,1735.0,1852.0,,135.0,,,,diesel,H,1995.0,110.0,,e24 32 37,,1.84,,,F,2023,2023-03-29,5.2,,RL-0100732-WBA-1,,bmw,318d,11500.0,2.6
132188465,DE,IP-BX72_2021_00007-WF0-1,FORD,FORD WERKE GMBH,FORD-WERKE GMBH,,E9*2007/46*3165*15,J2K,B7JB12X,5GTHTNA5RAX,FORD,PUMA,M1,M1,1,1369.0,1447.0,,129.0,,,,petrol,H,999.0,92.0,,e9 32 37,,2.0,,,F,2023,2023-12-05,5.7,715/2007*2018/1832AP,RL-B479_2019_00005-WF0-1,,ford,puma,23158.0,2.8
132188466,DE,IP-MLB42AZ_B0_0688-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2007/46*1550*39,FY,XDTPAQ1,QD7AD7CJ002RT51C204BIBEM1FLD1C,AUDI,Q5,M1G,M1G,1,1880.0,2104.0,,176.0,,,,diesel,H,1968.0,150.0,,e13 33 37,,1.86,,,F,2023,2023-03-20,6.7,,RL-DL382_7A_19_002-WAU-1,,audi,q5,43193.0,3.1
132188468,DE,IP-MQB37WZ_A0_0909-VSS-1,VOLKSWAGEN,SEAT,SEAT SA,,E9*2007/46*4008*19,KM,CXDGEAX0,FD6PFD6DD0014BI1BAA,CUPRA,FORMENTOR E-HYBRID,M1,M1,1,1680.0,1810.0,,29.0,,,,petrol/electric,P,1395.0,110.0,153.0,,,,,,F,2023,2023-12-29,1.3,,RL-DQ400E6F_19_001-WVW-1,57.0,cupra,formentor e hybrid,42454.0,2.5
132188470,DE,IP-13_2020_501-JMZ-1,MAZDA,MAZDA,MAZDA MOTOR CORPORATION,,E13*2007/46*2300*07,DR,1WB,JBW11,MAZDA,MAZDA MX-30,M1,M1,1,1720.0,1827.0,,0.0,,,,electric,E,,107.0,179.0,,,,,,F,2023,2023-01-17,,,RL-13_DR1-JMZ-1,200.0,mazda,mazda mx 30,19985.0,2.5
132188471,DE,IP-MLB51AS_A0_0756-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2007/46*1914*19,GE,SBL1IAQ1,QE1QE1G1Z01RT31B210GAAEM0,AUDI,Q8 SPORTBACK 50 E-TRON,M1,M1,1,2585.0,2763.0,,0.0,,,,electric,E,,250.0,217.0,,,,,,F,2023,2023-08-15,,,RL-EQ400_1P_22_001-WAU-1,455.0,audi,q8 sportback 50 e tron,89275.0,3.1
132188472,DE,IP-AP992002B00AT00-WP0-1,VOLKSWAGEN,PORSCHE,DR ING HCF PORSCHE AG,,E13*2007/46*0992*14,992,CA12,3412000,PORSCHE,911 CARRERA T,M1,M1,1,1580.0,1728.0,,240.0,,,,petrol,M,2981.0,283.0,,e1 29,,0.9,,,F,2023,2023-04-27,10.6,,RL-992002AT80ZZZ00-WP0-1,,porsche,911 carrera t,108136.0,2.8
132188474,DE,IP-MQB37AS_B7_0821-WAU-1,VOLKSWAGEN,AUDI AG,AUDI AG,,E1*2007/46*1900*31,F3,XDNNAQ1,QD7AD7GC006RT31C204BIBHA4EM1CB0,AUDI,Q3,M1,M1,1,1695.0,1835.0,,188.0,,,,petrol,M,1984.0,140.0,,e13 29 37,,2.01,,,F,2023,2023-07-17,8.3,,RL-DQ381_7A_17_020-WVW-1,,audi,q3,43820.0,2.5
132188475,DE,IP-ZKX____REDU576B-VR3-0,STELLANTIS,STELLANTIS AUTO,STELLANTIS AUTO SAS,,E2*2007/46*0639*25,U,H,ZKXZ-X0J000,OPEL,CORSA,M1,M1,1,1530.0,1611.0,,0.0,,,,electric,E,,100.0,160.0,,,,,,F,2023,2023-11-16,,,RL-___CMP_REDU5760-VR3-0,351.0,opel,corsa,8959.0,2.8
