Mp,Cn,Fm,z (Wh/km),Electric range (km),m (kg),Battery capacity (kWh),Energy per km (Wh/km),Motor efficiency,Efficiency (km/kWh)
MAZDA,MAZDA MX-30,E,179.0,200.0,1720.0,358.0,1790.0,0.9,0.5586592178770949
VOLKSWAGEN,Q8 SPORTBACK 50 E-TRON,E,217.0,455.0,2585.0,987.35,2170.0,0.9,0.4608294930875576
STELLANTIS,CORSA,E,160.0,351.0,1530.0,561.6,1600.0,0.9,0.625
RENAULT-NISSAN-MITSUBISHI,TWINGO,E,152.0,187.0,1208.0,284.24,1520.0,0.9,0.6578947368421053
VOLKSWAGEN,ENYAQ RS,E,172.0,508.0,2253.0,873.76,1720.0,0.9,0.5813953488372093
HYUNDAI MOTOR EUROPE,KONA KAUAI,E,143.0,305.0,1610.0,436.15,1430.0,0.9,0.6993006993006993
BMW,IX3,E,189.0,453.0,2255.0,856.17,1890.0,0.9,0.5291005291005291
,MODEL 3,E,140.0,629.0,1899.0,880.6,1400.0,0.9,0.7142857142857143
VOLKSWAGEN,ENYAQ 80,E,162.0,533.0,2154.0,863.46,1620.0,0.9,0.6172839506172839
BMW,IX1 XDRIVE30,E,172.0,433.0,2085.0,744.76,1720.0,0.9,0.5813953488372093
MERCEDES-BENZ AG,EQA 250,E,148.0,515.0,2045.0,762.2,1480.0,0.9,0.6756756756756757
HYUNDAI MOTOR EUROPE,IONIQ5,E,180.0,476.0,2010.0,856.8,1800.0,0.9,0.5555555555555556
RENAULT-NISSAN-MITSUBISHI,ZOE,E,186.0,350.0,1577.0,651.0,1860.0,0.9,0.5376344086021505
MERCEDES-BENZ AG,EQC 400 4MATIC,E,219.0,362.0,2495.0,792.78,2190.0,0.9,0.45662100456621
STELLANTIS,500,E,130.0,190.0,1255.0,247.0,1300.0,0.9,0.7692307692307693
MERCEDES-BENZ AG,EQA 300 4MATIC,E,177.0,430.0,2105.0,761.1,1770.0,0.9,0.5649717514124294
STELLANTIS,COMBO-E LIFE,E,198.0,279.0,1739.0,552.42,1980.0,0.9,0.5050505050505051
VOLKSWAGEN,ENYAQ 60,E,164.0,387.0,1998.0,634.68,1640.0,0.9,0.6097560975609756
VOLKSWAGEN,Q4 40 E-TRON,E,177.0,499.0,2125.0,883.23,1770.0,0.9,0.5649717514124294
BMW,COOPER SE,E,155.0,230.0,1440.0,356.5,1550.0,0.9,0.6451612903225806
,MACAN BEV TURBO,E,184.0,,2550.0,,1840.0,0.9,0.5434782608695652
MERCEDES-BENZ AG,EQB 300 4MATIC,E,187.0,410.0,2175.0,766.7,1870.0,0.9,0.5347593582887701
KIA,SOUL,E,157.0,452.0,1757.0,709.64,1570.0,0.9,0.6369426751592356
BMW,I4 M50,E,186.0,507.0,2290.0,943.02,1860.0,0.9,0.5376344086021505
MERCEDES-BENZ AG,EQE 500 4MATIC,E,215.0,489.0,2560.0,1051.35,2150.0,0.9,0.46511627906976744
VOLKSWAGEN,TAYCAN 4S,E,219.0,478.0,2320.0,1046.82,2190.0,0.9,0.45662100456621
,POLESTAR 2,E,152.0,639.0,2084.0,971.28,1520.0,0.9,0.6578947368421053
MERCEDES-BENZ AG,EQ FORTWO COUPE,E,168.0,126.0,1095.0,211.68,1680.0,0.9,0.5952380952380952
,C40,E,164.0,578.0,2095.0,947.92,1640.0,0.9,0.6097560975609756
