mark_name,model_name,mass_kg,price,frontal_area_m2,battery_capacity_kwh,energy_consumption_kwhp100km,motor_efficiency,charging_efficiency
MAZDA,MX-30,1720.0,19985.0,2.5,358.0,1790.0,0.9,0.5586592178770949
VOLKSWAGEN,Q8 SPORTBACK 50 E-TRON,2585.0,89275.0,3.1,987.35,2170.0,0.9,0.4608294930875576
STELLANTIS,CORSA,1530.0,8959.0,2.8,561.6,1600.0,0.9,0.625
RENAULT-NISSAN-MITSUBISHI,TWINGO,1208.0,7478.0,2.4,284.24,1520.0,0.9,0.6578947368421053
VOLKSWAGEN,ENYAQ RS,2253.0,48642.0,2.3,873.76,1720.0,0.9,0.5813953488372093
HYUNDAI MOTOR EUROPE,KONA KAUAI,1610.0,24352.0,2.2,436.15,1430.0,0.9,0.6993006993006993
BMW,IX3,2255.0,43051.0,2.7,856.17,1890.0,0.9,0.5291005291005291
VOLKSWAGEN,ENYAQ 80,2154.0,48642.0,2.2,863.46,1620.0,0.9,0.6172839506172839
BMW,IX1 XDRIVE30,2085.0,18271.0,2.5,744.76,1720.0,0.9,0.5813953488372093
MERCEDES-BENZ AG,EQA 250,2045.0,22097.0,2.8,762.2,1480.0,0.9,0.6756756756756757
HYUNDAI MOTOR EUROPE,IONIQ5,2010.0,24833.0,2.5,856.8,1800.0,0.9,0.5555555555555556
RENAULT-NISSAN-MITSUBISHI,ZOE,1577.0,10817.0,2.2,651.0,1860.0,0.9,0.5376344086021505
MERCEDES-BENZ AG,EQC 400 4MATIC,2495.0,54010.0,2.8,792.78,2190.0,0.9,0.45662100456621
STELLANTIS,500,1255.0,16288.0,2.4,247.0,1300.0,0.9,0.7692307692307693
MERCEDES-BENZ AG,EQA 300 4MATIC,2105.0,14500.0,2.7,761.1,1770.0,0.9,0.5649717514124294
STELLANTIS,COMBO-E LIFE,1739.0,12729.0,2.7,552.42,1980.0,0.9,0.5050505050505051
VOLKSWAGEN,ENYAQ 60,1998.0,48642.0,2.9,634.68,1640.0,0.9,0.6097560975609756
VOLKSWAGEN,Q4 40 E-TRON,2125.0,97673.0,2.5,883.23,1770.0,0.9,0.5649717514124294
BMW,COOPER SE,1440.0,19494.0,2.5,356.5,1550.0,0.9,0.6451612903225806
MERCEDES-BENZ AG,EQB 300 4MATIC,2175.0,14500.0,2.7,766.7,1870.0,0.9,0.5347593582887701
KIA,SOUL,1757.0,12890.0,2.9,709.64,1570.0,0.9,0.6369426751592356
BMW,I4 M50,2290.0,47933.0,3.0,943.02,1860.0,0.9,0.5376344086021505
MERCEDES-BENZ AG,EQE 500 4MATIC,2560.0,25047.0,2.4,1051.35,2150.0,0.9,0.46511627906976744
VOLKSWAGEN,TAYCAN 4S,2320.0,124050.0,2.4,1046.82,2190.0,0.9,0.45662100456621
MERCEDES-BENZ AG,EQ FORTWO COUPE,1095.0,7878.0,2.5,211.68,1680.0,0.9,0.5952380952380952
VOLKSWAGEN,Q4 50 E-TRON,2210.0,97673.0,2.7,878.4,1830.0,0.9,0.546448087431694
RENAULT-NISSAN-MITSUBISHI,MEGANE E-TECH ELECTRIC,1711.0,11191.0,2.1,699.27,1630.0,0.9,0.6134969325153374
STELLANTIS,208,1530.0,8793.0,2.7,559.55,1550.0,0.9,0.6451612903225806
VOLKSWAGEN,ENYAQ 80X,2205.0,48642.0,2.5,866.88,1680.0,0.9,0.5952380952380952
MERCEDES-BENZ AG,EQ FORTWO CABRIO,1125.0,7878.0,2.4,212.09,1670.0,0.9,0.5988023952095808
BMW,IX1 EDRIVE 20,1940.0,18271.0,2.6,732.99,1590.0,0.9,0.6289308176100629
VOLKSWAGEN,TAYCAN,2235.0,124050.0,2.7,1032.57,2310.0,0.9,0.4329004329004329
KIA,NIRO,1757.0,31546.0,2.7,745.2,1620.0,0.9,0.6172839506172839
VOLKSWAGEN,TAYCAN GTS,2370.0,124050.0,2.8,1023.82,2060.0,0.9,0.4854368932038835
HYUNDAI MOTOR EUROPE,IONIQ6,2095.0,24833.0,2.7,880.33,1510.0,0.9,0.6622516556291391
STELLANTIS,ZAFIRA LIFE,2382.0,23196.0,2.7,844.85,2770.0,0.9,0.36101083032490977
MERCEDES-BENZ AG,EQE 350,2385.0,26738.0,2.2,1037.0,1700.0,0.9,0.5882352941176471
MERCEDES-BENZ AG,EQA 250+,2045.0,22097.0,2.6,813.75,1550.0,0.9,0.6451612903225806
MERCEDES-BENZ AG,EQE 300,2405.0,24891.0,2.9,1032.84,1710.0,0.9,0.5847953216374269
VOLKSWAGEN,ENYAQ 50,1941.0,48642.0,2.1,580.35,1590.0,0.9,0.6289308176100629
STELLANTIS,E-C4,1636.0,9843.0,2.9,540.95,1550.0,0.9,0.6451612903225806
MERCEDES-BENZ AG,EQS 450+,2695.0,82920.0,2.4,,,0.9,
VOLKSWAGEN,Q4 SPORTBACK 40 E-TRON,2120.0,97673.0,2.5,878.92,1720.0,0.9,0.5813953488372093
VOLKSWAGEN,Q8 55 E-TRON,2585.0,89275.0,2.8,1199.92,2120.0,0.9,0.4716981132075472
VOLKSWAGEN,Q4 45 E-TRON,2210.0,97673.0,2.2,876.15,1770.0,0.9,0.5649717514124294
VOLKSWAGEN,Q4 SPORTBACK 50 E-TRON,2215.0,97673.0,2.9,881.1,1780.0,0.9,0.5617977528089888
MERCEDES-BENZ AG,ECITAN TOURER/EQT,1874.0,10232.0,2.8,539.29,1990.0,0.9,0.5025125628140703
MERCEDES-BENZ AG,EQB 250+,2115.0,15935.0,2.8,818.26,1630.0,0.9,0.6134969325153374
KG MOBILITY GREAT WALL MOTOR,KORANDO E-MOTION,1840.0,13578.0,3.0,669.71,1930.0,0.9,0.5181347150259067
MERCEDES-BENZ AG,EQS 450 4MATIC,2805.0,82920.0,3.0,,,0.9,
STELLANTIS,E-RIFTER,1874.0,31765.0,2.8,556.83,2070.0,0.9,0.4830917874396135
HYUNDAI MOTOR EUROPE,GV60 GENESIS GV60,2170.0,27750.0,3.2,883.6,1880.0,0.9,0.5319148936170213
