mark_name,model_name,mass_kg,fuel_consumption_lp100km,production_price,frontal_area_m2,co2_emissions_gl,engine_efficiency
VOLKSWAGEN,CUPRA ATECA,1628.0,9.0,40003.0,2.7,2255.5555555555557,0.25
VOLKSWAGEN,911 CARRERA T,1580.0,10.6,108136.0,2.8,2264.1509433962265,0.25
VOLKSWAGEN,Q3,1695.0,8.3,43820.0,2.5,2265.0602409638554,0.25
SUBARU-SUZUKI-TOYOTA,TOYOTA AYGO X,1025.0,4.8,8636.0,2.5,2270.8333333333335,0.25
BMW,COOPER S,1400.0,6.3,15575.0,2.7,2269.84126984127,0.25
BMW,420I,1695.0,7.1,26628.0,2.1,2253.5211267605637,0.25
BMW,COOPER,1250.0,5.5,15448.0,2.3,2290.909090909091,0.25
STELLANTIS,3008,1395.0,6.4,19475.0,2.7,2281.25,0.25
STELLANTIS,ASTRA,1341.0,5.5,9574.0,2.5,2272.7272727272725,0.25
RENAULT-NISSAN-MITSUBISHI,SANDERO,1147.0,5.3,8409.0,2.6,2245.2830188679245,0.25
VOLKSWAGEN,KAMIQ,1227.0,5.4,22394.0,2.6,2277.777777777778,0.25
VOLKSWAGEN,FORMENTOR,1626.0,8.5,42454.0,2.7,2258.823529411765,0.25
HYUNDAI MOTOR EUROPE,I10,994.0,5.2,8782.0,2.5,2250.0,0.25
RENAULT-NISSAN-MITSUBISHI,CLIO,1103.0,5.5,10529.0,3.2,2254.5454545454545,0.25
VOLKSWAGEN,ARONA,1235.0,6.1,19660.0,2.6,2278.688524590164,0.25
VOLKSWAGEN,OCTAVIA SCOUT,1621.0,5.8,15523.0,2.8,2620.689655172414,0.4
VOLKSWAGEN,KODIAQ,1767.0,6.4,31559.0,2.0,2625.0,0.4
RENAULT-NISSAN-MITSUBISHI,DUSTER,1321.0,6.2,11905.0,2.6,2274.1935483870966,0.25
VOLKSWAGEN,KAROQ,1604.0,5.8,26905.0,2.9,2603.448275862069,0.4
VOLKSWAGEN,SEAT ATECA,1497.0,5.1,26483.0,2.7,2627.450980392157,0.4
VOLKSWAGEN,A1 SPORTBACK,1180.0,5.5,13010.0,2.7,2272.7272727272725,0.25
VOLKSWAGEN,SUPERB,1565.0,7.0,21380.0,2.5,2271.4285714285716,0.25
VOLKSWAGEN,FABIA,1124.0,5.1,10170.0,2.4,2274.5098039215686,0.25
BMW,M3 COMPETITION M XDRIVE,1940.0,10.2,78697.0,2.9,2274.5098039215686,0.25
MERCEDES-BENZ AG,GLB 200 D,1680.0,5.5,26833.0,2.9,2654.5454545454545,0.4
VOLKSWAGEN,A3 SPORTBACK,1535.0,7.1,16869.0,2.7,2281.6901408450703,0.25
VOLKSWAGEN,Q3 SPORTBACK,1735.0,6.7,27472.0,2.3,2611.9402985074626,0.4
STELLANTIS,CROSSLAND,1290.0,5.9,17583.0,2.9,2237.2881355932204,0.25
VOLKSWAGEN,A1 ALLSTREET,1280.0,6.7,13010.0,2.7,2253.731343283582,0.25
VOLKSWAGEN,718 CAYMAN GT4 RS,1490.0,13.2,74281.0,3.1,2265.1515151515155,0.25
RENAULT-NISSAN-MITSUBISHI,MEGANE,1507.0,4.8,11191.0,2.0,2625.0,0.4
KIA,XCEED,1400.0,6.2,25022.0,2.8,2274.1935483870966,0.25
VOLKSWAGEN,911 SPORT CLASSIC,1645.0,12.6,108136.0,2.6,2261.904761904762,0.25
VOLKSWAGEN,IBIZA,1154.0,5.5,9061.0,2.6,2254.5454545454545,0.25
STELLANTIS,TRAVELLER,2037.0,7.4,33838.0,3.0,2608.108108108108,0.4
VOLKSWAGEN,Q2,1370.0,5.9,25439.0,2.4,2271.186440677966,0.25
KIA,SORENTO,1867.0,6.6,34907.0,2.4,2621.2121212121215,0.4
MERCEDES-BENZ AG,AMG G 63,2595.0,16.2,18990.0,2.8,2277.777777777778,0.25
BMW,COUNTRYMAN COOPER,1505.0,6.5,10999.0,2.2,2276.923076923077,0.25
VOLKSWAGEN,OCTAVIA,1349.0,5.5,15523.0,2.7,2272.7272727272725,0.25
